site_id,region,site_size,num_doctors,num_nurses,avg_patient_age,avg_patient_income,trial_success_rate,patient_enrollment_rate,previous_experience,site_rating,accessibility_score,site_type,bed_count,years_operational,training_quality,site_location,site_capacity
1,West,Small,21,43.0,52,71647.0,0.5961196493801467,0.673184077606365,Low,Good,3,Research,260,6,Good,Urban,Low
2,Central,Small,30,,68,,0.5379861100913506,0.6456235955151429,Low,Poor,5,Research,221,11,Average,Rural,Medium
3,East,Large,12,12.0,30,85838.0,0.6259673778355583,0.6712372058604137,High,Excellent,5,Teaching,281,1,Poor,Urban,Low
4,Central,Medium,44,21.0,65,59539.0,0.538657933715101,0.8691713966059034,High,Excellent,10,Teaching,55,25,Average,Suburban,High
5,Central,Small,16,37.0,40,76738.0,0.5707587803295936,0.748926980745145,Low,Average,7,Research,157,10,Average,Suburban,Low
6,South,Large,31,39.0,28,66616.0,0.8949344634318184,0.7978955789133882,Low,Average,4,Community,152,20,Excellent,Suburban,Low
7,East,Medium,12,35.0,59,54119.0,0.6776414227626475,0.6073532049452263,Medium,Poor,4,Teaching,99,24,Good,Suburban,Medium
8,East,Small,29,57.0,50,65159.0,0.7127487066020066,0.6120509580006601,Medium,Average,7,Research,167,21,Poor,Suburban,High
9,East,Medium,8,,36,,0.8494474114948862,0.7560389424394556,Low,Good,9,Community,159,11,Good,Rural,High
10,Central,Large,37,37.0,35,50295.0,0.8982275601962751,0.8858293351205682,High,Good,4,Teaching,249,24,Average,Suburban,High
11,West,Small,5,,61,,0.7330857797378726,0.9098336075476479,Low,Average,4,Teaching,137,17,Poor,Suburban,Low
12,East,Medium,23,42.0,49,64685.0,0.8249895284176687,0.630347298658474,Low,Good,6,Research,69,8,Poor,Rural,High
13,Central,Small,35,30.0,42,89343.0,0.6307764097346701,0.7884270857353579,High,Good,6,Community,295,27,Poor,Rural,High
14,South,Medium,20,44.0,43,65479.0,0.6222975829789165,0.9196303901977446,High,Poor,7,Teaching,63,13,Poor,Rural,Low
15,West,Large,18,43.0,47,86172.0,0.6610814883978241,0.7357904640392602,Medium,Good,1,Community,182,27,Excellent,Urban,Medium
16,South,Large,9,50.0,62,73629.0,0.7690029050694597,0.8903480409999289,Medium,Excellent,3,Community,218,20,Poor,Urban,Medium
17,West,Small,45,56.0,42,82043.0,0.7728766757020396,0.6467934790398027,Medium,Excellent,9,Teaching,89,18,Average,Suburban,Low
18,Central,Medium,30,27.0,50,57033.0,0.6260957738597803,0.9273880713837295,Medium,Poor,6,Community,83,27,Excellent,Suburban,Medium
19,North,Small,32,20.0,30,76902.0,0.5532839696546514,0.8629981611359558,High,Average,6,Teaching,173,22,Average,Suburban,Medium
20,West,Small,6,,28,,0.7529585025862034,0.9294670374754155,Low,Poor,5,Community,257,16,Average,Urban,Medium
21,South,Medium,10,57.0,68,55408.0,0.5513303448755058,0.8368160317433773,Medium,Average,3,Teaching,94,2,Good,Suburban,High
22,Central,Medium,13,31.0,53,57420.0,0.7313970032917321,0.7271913761997995,Medium,Average,5,Research,248,5,Poor,Suburban,Medium
23,West,Medium,37,26.0,58,56351.0,0.7773688512225236,0.9283634103836529,High,Average,1,Teaching,129,18,Poor,Urban,High
24,North,Large,45,14.0,41,44131.0,0.7802445985577806,0.6964483717082124,High,Average,3,Teaching,120,3,Average,Rural,Medium
25,North,Small,29,53.0,67,84825.0,0.8013888442638387,0.7162603827216063,Low,Average,4,Teaching,204,27,Poor,Urban,High
26,East,Small,17,20.0,67,51349.0,0.8491437686262658,0.8452829463006091,Low,Poor,5,Community,127,22,Excellent,Suburban,Low
27,East,Large,13,39.0,40,84254.0,0.6999835967859154,0.8678607048338851,High,Average,10,Research,127,17,Good,Urban,Low
28,South,Medium,17,,26,,0.7920996758118285,0.9252912193472038,Medium,Good,9,Community,221,16,Poor,Rural,Medium
29,West,Large,35,36.0,58,78847.0,0.7476690941463346,0.6716808431696732,Medium,Good,4,Community,82,6,Poor,Rural,High
30,West,Large,45,44.0,32,52453.0,0.574655975919073,0.8792993123267283,Medium,Average,3,Teaching,82,19,Excellent,Rural,Low
31,East,Large,15,42.0,37,58814.0,0.5102758579477633,0.8584911186889372,Low,Good,10,Community,93,7,Good,Rural,Low
32,West,Small,8,29.0,66,58263.0,0.6138165542707735,0.6223280946887593,Medium,Excellent,1,Teaching,69,18,Excellent,Rural,Low
33,West,Large,38,25.0,32,52158.0,0.6772134825350478,0.7355280994235724,Medium,Poor,10,Research,294,14,Average,Rural,Low
34,North,Small,42,,54,,0.7468423777714626,0.6989679099710344,High,Poor,6,Community,160,6,Average,Suburban,Medium
35,East,Small,8,11.0,56,55830.0,0.8399837322012822,0.7065716485239106,Medium,Average,7,Community,213,8,Poor,Suburban,High
36,Central,Small,42,44.0,60,87893.0,0.5784982866824663,0.9440314078441452,High,Average,10,Community,56,15,Good,Urban,Low
37,East,Medium,23,49.0,54,84673.0,0.5502199159593908,0.8249720947179747,Medium,Excellent,8,Teaching,209,15,Average,Suburban,Medium
38,Central,Small,10,37.0,25,63926.0,0.8853919789897311,0.8511866552277247,Low,Average,1,Teaching,289,15,Excellent,Rural,Low
39,North,Small,38,56.0,67,85066.0,0.5432178237505628,0.9418161730602532,Medium,Good,4,Community,244,16,Average,Suburban,Low
40,South,Medium,22,48.0,63,74779.0,0.6913964280428757,0.7320206238601735,Medium,Excellent,5,Community,216,1,Average,Urban,Low
41,West,Small,17,15.0,41,43373.0,0.7342254915173207,0.8806440589584821,High,Good,2,Research,270,11,Excellent,Rural,Low
42,North,Large,45,18.0,44,50335.0,0.7165497683629753,0.7520858371565733,High,Poor,1,Research,73,27,Poor,Suburban,Medium
43,West,Large,27,29.0,48,63741.0,0.5344128628131772,0.9043367851352428,High,Good,8,Research,263,29,Good,Suburban,High
44,South,Small,23,,46,,0.5228107656014478,0.6632301394589561,Medium,Poor,6,Research,119,25,Poor,Urban,Medium
45,South,Medium,49,17.0,53,87295.0,0.5421933709844142,0.9316901619724978,Medium,Good,5,Research,161,5,Excellent,Rural,Medium
46,North,Large,15,32.0,46,85541.0,0.734235073549045,0.6765700979438078,Low,Poor,9,Teaching,265,5,Average,Urban,Medium
47,South,Medium,5,12.0,68,74057.0,0.7177379550537284,0.714177177443326,Medium,Average,2,Research,153,29,Good,Rural,Low
48,Central,Medium,28,13.0,33,41447.0,0.5934963168146977,0.8646672819373731,Low,Good,10,Research,264,28,Poor,Rural,High
49,South,Large,11,34.0,61,59583.0,0.7551096567382367,0.7378142995478923,High,Poor,8,Community,103,21,Excellent,Suburban,Low
50,West,Medium,29,56.0,34,62765.0,0.8280270008222598,0.8128739818682563,High,Good,10,Teaching,87,6,Average,Urban,Medium
51,West,Large,25,47.0,60,63906.0,0.5166315839386375,0.7556007253743,High,Excellent,9,Research,123,2,Average,Urban,Low
52,West,Medium,19,24.0,61,59567.0,0.699251977419217,0.8598294779814236,Low,Average,1,Research,129,6,Poor,Urban,High
53,West,Large,5,30.0,52,54139.0,0.7757241648410762,0.6799159383290138,Medium,Poor,7,Research,252,14,Excellent,Rural,High
54,Central,Small,16,44.0,52,86525.0,0.6009247708278749,0.6204602955329069,High,Excellent,8,Community,81,11,Average,Urban,Low
55,East,Large,11,55.0,66,78230.0,0.6231083621172596,0.7049752891155732,Medium,Good,3,Community,94,4,Average,Rural,Medium
56,North,Large,19,23.0,67,59520.0,0.7454551611957535,0.7660080327039506,Medium,Excellent,4,Community,110,24,Good,Urban,Low
57,West,Large,25,45.0,45,59702.0,0.8591741173774947,0.6588070182674375,High,Good,3,Research,247,29,Average,Urban,Medium
58,South,Large,23,21.0,48,65566.0,0.8239697681211597,0.724179051379736,Low,Average,7,Community,265,27,Poor,Suburban,High
59,West,Medium,33,26.0,66,47657.0,0.7332520876398334,0.739994056402749,Medium,Excellent,9,Research,274,25,Excellent,Urban,Low
60,South,Small,29,48.0,64,77688.0,0.7920886871028997,0.6200871452908957,High,Average,3,Teaching,102,9,Excellent,Suburban,High
61,South,Large,37,18.0,26,70134.0,0.6459289880831195,0.8041575368644716,Medium,Poor,6,Research,177,24,Good,Suburban,Medium
62,West,Medium,36,44.0,32,50345.0,0.7563862112395031,0.9095201997899506,Medium,Good,8,Community,228,3,Excellent,Rural,Medium
63,Central,Small,39,22.0,51,81185.0,0.6864726364510227,0.6531100195335683,Medium,Good,6,Teaching,125,26,Poor,Urban,Low
64,South,Small,48,,46,,0.5759744545830243,0.8092328046905299,Medium,Average,2,Research,233,16,Average,Urban,Low
65,South,Small,42,27.0,61,67413.0,0.7806953095509028,0.8326587217187962,Medium,Average,7,Teaching,76,11,Good,Urban,Low
66,West,Small,30,42.0,51,45208.0,0.7225858549395288,0.7467671381467509,Low,Poor,2,Teaching,215,27,Excellent,Suburban,High
67,South,Large,15,15.0,53,73455.0,0.6434486327814366,0.8453841555774945,Low,Excellent,2,Teaching,111,4,Good,Urban,Medium
68,South,Large,39,36.0,27,89681.0,0.8645356760314523,0.7437560402218542,High,Good,2,Research,67,1,Good,Rural,Medium
69,West,Medium,12,32.0,68,68018.0,0.5083736471306933,0.7766230507921021,Low,Good,1,Community,176,25,Excellent,Rural,High
70,West,Medium,18,36.0,37,85991.0,0.6263092604997984,0.6025735655940494,Low,Poor,1,Research,158,21,Good,Urban,Low
71,North,Medium,14,43.0,69,48080.0,0.5227525591110587,0.8421020399471411,Low,Poor,7,Community,152,22,Excellent,Suburban,Low
72,Central,Small,6,55.0,34,61902.0,0.806610926488651,0.8314699376306536,Medium,Average,5,Research,241,16,Poor,Rural,High
73,Central,Small,13,47.0,60,49486.0,0.7808429816455171,0.6134403070642206,Medium,Average,3,Research,296,19,Excellent,Rural,Medium
74,South,Large,7,23.0,33,78862.0,0.6325408874945269,0.7288875375882966,High,Excellent,1,Research,126,16,Average,Suburban,Medium
75,Central,Small,25,45.0,51,61158.0,0.7702651608828293,0.9426611442770836,High,Poor,10,Community,166,11,Excellent,Rural,Medium
76,South,Small,30,17.0,58,80460.0,0.6583748904783799,0.7472577968990158,High,Excellent,6,Research,153,26,Average,Suburban,Medium
77,North,Small,12,44.0,25,83856.0,0.8025015165689737,0.7756808917961446,Medium,Poor,1,Teaching,207,8,Good,Rural,High
78,West,Medium,6,28.0,56,75871.0,0.6816734650946824,0.9184755553559014,Low,Good,9,Research,294,23,Excellent,Suburban,Medium
79,West,Medium,10,39.0,49,75208.0,0.6649118911326662,0.8510416565530148,Low,Poor,2,Teaching,98,1,Average,Rural,High
80,West,Large,32,23.0,53,60519.0,0.8738919661953204,0.8037245458934782,Medium,Poor,1,Community,218,26,Excellent,Urban,Low
81,Central,Small,33,29.0,31,71379.0,0.60035163995628,0.8792316384693754,High,Good,7,Community,165,28,Excellent,Rural,High
82,North,Small,30,58.0,27,68378.0,0.5481789359986262,0.9025281932595905,High,Poor,6,Research,190,21,Excellent,Rural,Medium
83,Central,Large,29,34.0,44,79892.0,0.7338172453037832,0.7599108251080433,High,Excellent,6,Research,211,26,Poor,Urban,Low
84,Central,Small,16,49.0,44,89996.0,0.8877287249136716,0.7662879277261423,Medium,Average,5,Research,149,9,Average,Urban,High
85,North,Small,9,33.0,54,54031.0,0.6511356854908746,0.7351178274781425,High,Average,4,Teaching,271,28,Poor,Urban,High
